player,player_opponent,win_prob_mean
Tomas Martin Etcheverry,Roman Safiullin,0.39571282267570496
Tomas Martin Etcheverry,Carlos Alcaraz,0.12237685918807983
Tallon Griekspoor,Novak Djokovic,0.08745673298835754
Tallon Griekspoor,BYE,1.0
Tallon Griekspoor,Miomir Kecmanovic,0.44033747911453247
Tallon Griekspoor,Tomas Martin Etcheverry,0.6229419112205505
Tallon Griekspoor,Christopher Eubanks,0.5335371792316437
Tallon Griekspoor,Alejandro Davidovich Fokina,0.41371141374111176
Tallon Griekspoor,Ben Shelton,0.47520971298217773
Tallon Griekspoor,Taylor Fritz,0.126229926943779
Tallon Griekspoor,Sebastian Baez,0.4641193002462387
Tallon Griekspoor,Daniel Altmaier,0.5983414500951767
Tallon Griekspoor,Arthur Fils,0.6377777457237244
Tallon Griekspoor,Stan Wawrinka,0.37932559847831726
Tallon Griekspoor,Dominic Thiem,0.3758571445941925
Tallon Griekspoor,Holger Rune,0.4567490667104721
Tallon Griekspoor,Jannik Sinner,0.11858260631561279
Tallon Griekspoor,J J Wolf,0.47592830657958984
Tallon Griekspoor,Mackenzie Mcdonald,0.47489501535892487
Tallon Griekspoor,Dusan Lajovic,0.5002064257860184
Tallon Griekspoor,Benjamin Bonzi,0.470810130238533
Tallon Griekspoor,Andy Murray,0.4280044883489609
Tallon Griekspoor,Alex De Minaur,0.29116661846637726
Tallon Griekspoor,Tommy Paul,0.2794701009988785
Tallon Griekspoor,Richard Gasquet,0.4527297914028168
Tallon Griekspoor,Botic Van De Zandschulp,0.4255927950143814
Tallon Griekspoor,Adrian Mannarino,0.49201807379722595
Tallon Griekspoor,Jordan Thompson,0.4368259310722351
Tallon Griekspoor,Yoshihito Nishioka,0.4916555881500244
Tallon Griekspoor,Andrey Rublev,0.06336908042430878
Tallon Griekspoor,Casper Ruud,0.2163340002298355
Tallon Griekspoor,Gael Monfils,0.3466435670852661
Tallon Griekspoor,Francisco Cerundolo,0.5116797685623169
Tallon Griekspoor,Jiri Lehecka,0.4929051101207733
Tallon Griekspoor,Roberto Bautista Agut,0.2926174998283386
