player,player_opponent,win_prob_mean
Fabio Fognini,Daniel Altmaier,0.5334096401929855
Fabio Fognini,Mate Valkusz,0.5438008308410645
Fabio Fognini,Alexander Shevchenko,0.6111489534378052
Fabio Fognini,Mathias Bourgue,0.6292748153209686
Fabio Fognini,Constant Lestienne,0.5586598366498947
Fabio Fognini,Calvin Hemery,0.5438008308410645
Fabio Fognini,Karen Khachanov,0.24638226628303528
Fabio Fognini,Stan Wawrinka,0.36274439096450806
Fabio Fognini,Bernabe Zapata Miralles,0.5838833451271057
Fabio Fognini,Luca Van Assche,0.6558336913585663
Fabio Fognini,Botic Van De Zandschulp,0.4159323424100876
Fabio Fognini,Pierre Hugues Herbert,0.45459240674972534
Fabio Fognini,Arthur Cazaux,0.6658120453357697
Fabio Fognini,Alex De Minaur,0.2690742313861847
Abedallah Shelbayh,Alexander Bublik,0.31411202251911163
Abedallah Shelbayh,BYE,1.0
Abedallah Shelbayh,Thiago Seyboth Wild,0.40917618572711945
Abedallah Shelbayh,Fabio Fognini,0.3368852287530899
Abedallah Shelbayh,Hugo Gaston,0.36586296558380127
Abedallah Shelbayh,Marcos Giron,0.3138761520385742
Abedallah Shelbayh,Lorenzo Sonego,0.34162718057632446
Abedallah Shelbayh,Ugo Humbert,0.1731327623128891
Abedallah Shelbayh,Matteo Martineau,0.3914118707180023
Abedallah Shelbayh,Dominic Thiem,0.17804445326328278
Abedallah Shelbayh,Harold Mayo,0.3914118707180023
Abedallah Shelbayh,Yosuke Watanuki,0.4678836911916733
Abedallah Shelbayh,Gregoire Barrere,0.37198829650878906
Abedallah Shelbayh,Yannick Hanfmann,0.37005215883255005
Abedallah Shelbayh,Daniel Altmaier,0.3787359595298767
Abedallah Shelbayh,Mate Valkusz,0.3914118707180023
Abedallah Shelbayh,Alexander Shevchenko,0.43183431029319763
Abedallah Shelbayh,Mathias Bourgue,0.45226943492889404
Abedallah Shelbayh,Constant Lestienne,0.38646532595157623
Abedallah Shelbayh,Calvin Hemery,0.3914118707180023
Abedallah Shelbayh,Karen Khachanov,0.10399609804153442
Abedallah Shelbayh,Stan Wawrinka,0.18371817469596863
Abedallah Shelbayh,Bernabe Zapata Miralles,0.4644584655761719
